sample	libsize_75percent
SRR816336.aligned	368308.0
SRR815326.aligned	262863.0
SRR1105174.aligned	246293.0
SRR814657.aligned	283295.0
SRR663368.aligned	220635.0
SRR814491.aligned	349153.0
SRR814407.aligned	244320.0
SRR1105154.aligned	210270.0
SRR1120276.aligned	191336.0
SRR1077619.aligned	191750.0
SRR813043.aligned	252639.0
SRR811748.aligned	292001.0
SRR663717.aligned	90167.0
SRR808152.aligned	293276.0
SRR665538.aligned	377670.0
SRR665502.aligned	232511.0
SRR662330.aligned	83731.0
SRR662055.aligned	98066.0
SRR658338.aligned	108913.0
SRR1099622.aligned	230237.0
SRR1100496.aligned	238430.0
SRR658033.aligned	54251.0
SRR660907.aligned	288685.0
SRR660450.aligned	193273.0
SRR659037.aligned	288932.0
SRR658481.aligned	143628.0
SRR1096900.aligned	177432.0
SRR657054.aligned	161617.0
SRR1076729.aligned	166351.0
SRR1076120.aligned	302682.0
SRR1081935.aligned	157661.0
SRR1094216.aligned	248600.0
SRR654940.aligned	71936.0
SRR1074934.aligned	241354.0
SRR614275.aligned	130381.0
SRR613975.aligned	161161.0
SRR613533.aligned	91614.0
SRR1091302.aligned	156261.0
SRR1070332.aligned	246918.0
SRR613042.aligned	156679.0
SRR612563.aligned	30030.0
SRR1071785.aligned	227627.0
SRR1088606.aligned	252863.0
SRR1084577.aligned	88566.0
SRR1071905.aligned	157507.0
SRR604456.aligned	180353.0
SRR1074263.aligned	143398.0
SRR603333.aligned	154864.0
SRR602437.aligned	129489.0
SRR601201.aligned	201498.0
SRR817421.aligned	270970.0
SRR600361.aligned	203892.0
SRR814467.aligned	344831.0
SRR1070133.aligned	156031.0
SRR1105198.aligned	171914.0
SRR1102320.aligned	148734.0
SRR809725.aligned	352498.0
SRR1077643.aligned	177005.0
SRR1085235.aligned	223474.0
SRR807438.aligned	367534.0
SRR807463.aligned	351781.0
SRR615323.aligned	103651.0
SRR1077038.aligned	231266.0
SRR660614.aligned	181108.0
SRR1069919.aligned	174785.0
SRR1083554.aligned	330260.0
SRR659389.aligned	371338.0
SRR659637.aligned	185713.0
SRR658941.aligned	215447.0
SRR1079259.aligned	99847.0
SRR1075825.aligned	296458.0
SRR655088.aligned	35434.0
SRR1096315.aligned	192720.0
SRR655301.aligned	470448.0
SRR655218.aligned	409145.0
SRR1092818.aligned	169772.0
SRR1093814.aligned	177150.0
SRR615201.aligned	208131.0
SRR613867.aligned	111842.0
SRR1080022.aligned	247995.0
SRR1091380.aligned	149035.0
SRR608002.aligned	223811.0
SRR607311.aligned	184250.0
SRR1079660.aligned	97151.0
SRR599154.aligned	214928.0
SRR602927.aligned	147976.0
SRR1078417.aligned	175023.0
SRR821388.aligned	319059.0
SRR824015.aligned	364807.0
SRR607705.aligned	184729.0
SRR602338.aligned	290114.0
SRR1078903.aligned	163247.0
SRR820907.aligned	227191.0
SRR821148.aligned	482456.0
SRR1088241.aligned	223771.0
SRR819134.aligned	213207.0
SRR819293.aligned	308744.0
SRR1088487.aligned	195753.0
SRR598792.aligned	213649.0
SRR818170.aligned	327125.0
SRR1069714.aligned	188773.0
SRR1069895.aligned	195828.0
SRR662354.aligned	176862.0
SRR1098169.aligned	940250.0
SRR1120847.aligned	244728.0
SRR1077968.aligned	187585.0
SRR814165.aligned	305890.0
SRR812745.aligned	163513.0
SRR1102224.aligned	220050.0
SRR1101612.aligned	239631.0
SRR810343.aligned	391894.0
SRR811891.aligned	168875.0
SRR1085039.aligned	202400.0
SRR1098122.aligned	195742.0
SRR811121.aligned	366041.0
SRR1100472.aligned	199642.0
SRR1084299.aligned	185660.0
SRR808614.aligned	339232.0
SRR663477.aligned	126004.0
SRR663681.aligned	275673.0
SRR659947.aligned	431772.0
SRR1097270.aligned	226178.0
SRR1082957.aligned	193502.0
SRR661675.aligned	183232.0
SRR659804.aligned	354862.0
SRR1082809.aligned	264155.0
SRR658331.aligned	18282.0
SRR657927.aligned	168561.0
SRR658117.aligned	106983.0
SRR657115.aligned	91784.0
SRR1075458.aligned	202551.0
SRR627435.aligned	49120.0
SRR613999.aligned	88272.0
SRR1090310.aligned	174933.0
SRR613390.aligned	127829.0
SRR1078759.aligned	149849.0
SRR612899.aligned	147192.0
SRR1071207.aligned	216751.0
SRR1074815.aligned	187820.0
SRR612407.aligned	77621.0
SRR1088093.aligned	180251.0
SRR1078972.aligned	197358.0
SRR819164.aligned	137404.0
SRR1120825.aligned	193997.0
SRR818263.aligned	338826.0
SRR1120913.aligned	283941.0
SRR1087007.aligned	130603.0
SRR660764.aligned	52977.0
SRR1104987.aligned	170112.0
SRR662414.aligned	455770.0
SRR663100.aligned	230384.0
SRR1102998.aligned	153826.0
SRR663002.aligned	402941.0
SRR1073731.aligned	212885.0
SRR810829.aligned	281034.0
SRR812697.aligned	359808.0
SRR1070641.aligned	194498.0
SRR811333.aligned	352259.0
SRR1072055.aligned	226866.0
SRR810571.aligned	262239.0
SRR810531.aligned	273271.0
SRR810031.aligned	274879.0
SRR1099427.aligned	183147.0
SRR1093504.aligned	118179.0
SRR807543.aligned	309640.0
SRR665217.aligned	402271.0
SRR1083286.aligned	181552.0
SRR662031.aligned	264121.0
SRR1082059.aligned	219502.0
SRR655899.aligned	234228.0
SRR655792.aligned	138106.0
SRR655601.aligned	280286.0
SRR627437.aligned	69495.0
SRR627443.aligned	94180.0
SRR1081401.aligned	222942.0
SRR1081044.aligned	127169.0
SRR614779.aligned	29575.0
SRR615335.aligned	133827.0
SRR1080509.aligned	288862.0
SRR1090265.aligned	144901.0
SRR613054.aligned	174414.0
SRR612911.aligned	191050.0
SRR1088734.aligned	174192.0
SRR1092281.aligned	126610.0
SRR603834.aligned	315624.0
SRR1087992.aligned	135160.0
SRR821326.aligned	77104.0
SRR821410.aligned	92945.0
SRR603188.aligned	268724.0
SRR817444.aligned	88088.0
SRR820962.aligned	132223.0
SRR821050.aligned	168136.0
SRR818971.aligned	333317.0
SRR601359.aligned	308617.0
SRR818725.aligned	317794.0
SRR614179.aligned	44974.0
SRR816226.aligned	181218.0
SRR1073878.aligned	208797.0
SRR1086752.aligned	194153.0
SRR600608.aligned	231929.0
SRR1086656.aligned	203390.0
SRR814244.aligned	389764.00000000006
SRR814427.aligned	254205.0
SRR598276.aligned	126905.0
SRR812366.aligned	272070.0
SRR811471.aligned	316892.0
SRR664795.aligned	463800.0
SRR1102899.aligned	101373.0
SRR807703.aligned	267199.0
SRR1085187.aligned	61295.0
SRR1101542.aligned	75027.0
SRR1101741.aligned	202739.0
SRR1101348.aligned	252049.0
SRR808172.aligned	292453.0
SRR663783.aligned	227876.0
SRR1100872.aligned	178619.0
SRR663795.aligned	254352.0
SRR660776.aligned	279624.0
SRR1083604.aligned	186506.0
SRR1099520.aligned	171502.0
SRR661373.aligned	254196.0
SRR659307.aligned	377494.0
SRR1070159.aligned	252322.0
SRR1097076.aligned	183865.0
SRR1082197.aligned	229339.0
SRR1095213.aligned	277760.0
SRR656083.aligned	286091.0
SRR1093053.aligned	225038.0
SRR1072578.aligned	183077.0
SRR654730.aligned	255936.0
SRR1080246.aligned	157793.0
SRR615826.aligned	74841.0
SRR1092468.aligned	261066.0
SRR1080927.aligned	227788.0
SRR614047.aligned	213059.0
SRR614083.aligned	162243.0
SRR614467.aligned	221932.0
SRR613282.aligned	116747.0
SRR1075004.aligned	201555.0
SRR613018.aligned	28528.0
SRR1079281.aligned	156600.0
SRR612539.aligned	70092.0
SRR1071131.aligned	190251.0
SRR1078278.aligned	240962.0
SRR603890.aligned	32509.0
SRR818002.aligned	256500.0
SRR816699.aligned	328470.0
SRR1087606.aligned	169909.0
SRR1083408.aligned	128456.0
SRR601962.aligned	254884.0
SRR1085687.aligned	278632.0
SRR1086869.aligned	194184.0
SRR814943.aligned	403848.0
SRR598894.aligned	116188.0
SRR1097320.aligned	98763.0
SRR813584.aligned	351635.0
SRR1099744.aligned	45126.0
SRR665563.aligned	326337.0
SRR809444.aligned	176085.0
SRR1100588.aligned	168285.0
SRR809065.aligned	371219.0
SRR808351.aligned	320503.0
SRR1099648.aligned	48017.0
SRR1084055.aligned	198761.0
SRR665658.aligned	103564.0
SRR1100965.aligned	139175.0
SRR663392.aligned	310976.0
SRR1098519.aligned	219807.0
SRR1069734.aligned	289893.0
SRR657372.aligned	294244.0
SRR1081589.aligned	295570.0
SRR656782.aligned	107692.0
SRR656107.aligned	152340.0
SRR1072178.aligned	193666.0
SRR655816.aligned	374687.0
SRR615814.aligned	78809.0
SRR615695.aligned	217884.0
SRR1074289.aligned	279181.0
SRR614695.aligned	228709.0
SRR1080117.aligned	104259.0
SRR613198.aligned	167153.0
SRR613126.aligned	139258.0
SRR1080951.aligned	141417.0
SRR660579.aligned	13361.0
SRR1088631.aligned	235118.0
SRR1089230.aligned	190473.0
SRR1078660.aligned	194373.0
SRR818873.aligned	443745.0
SRR1073581.aligned	208888.0
SRR602680.aligned	218316.0
SRR601613.aligned	170126.0
SRR807591.aligned	364667.0
SRR810483.aligned	316539.0
SRR811029.aligned	127758.0
SRR1071880.aligned	278215.0
SRR812270.aligned	392321.0
SRR1105106.aligned	222852.0
SRR1102489.aligned	192853.0
SRR663356.aligned	30407.0
SRR663623.aligned	132407.0
SRR1069690.aligned	171628.0
SRR815422.aligned	305646.0
SRR1077708.aligned	184702.0
SRR817353.aligned	255060.0
SRR817658.aligned	191655.0
SRR1084323.aligned	120954.0
SRR819744.aligned	372822.0
SRR1072456.aligned	196962.0
SRR1101061.aligned	223988.0
SRR599510.aligned	81931.0
SRR1099570.aligned	205890.0
SRR663898.aligned	236772.0
SRR1083237.aligned	276769.0
SRR659720.aligned	81746.0
SRR661613.aligned	419061.0
SRR661469.aligned	122706.0
SRR660945.aligned	164242.0
SRR661794.aligned	221761.0
SRR1076046.aligned	243976.0
SRR659768.aligned	58081.0
SRR659923.aligned	389418.0
SRR1076244.aligned	90247.0
SRR1075505.aligned	295664.0
SRR1075198.aligned	238154.0
SRR1095744.aligned	215327.0
SRR655864.aligned	341567.0
SRR1072388.aligned	155079.0
SRR1093930.aligned	230585.0
SRR655134.aligned	320531.0
SRR655170.aligned	178219.0
SRR615539.aligned	190626.0
SRR615096.aligned	58168.0
SRR615359.aligned	177957.0
SRR615659.aligned	205340.0
SRR1079998.aligned	217731.0
SRR1092349.aligned	86114.0
SRR1079806.aligned	167090.0
SRR613723.aligned	31775.0
SRR613603.aligned	31514.0
SRR1091206.aligned	179306.0
SRR1079023.aligned	194033.0
SRR612767.aligned	47001.0
SRR1089926.aligned	239689.0
SRR1073991.aligned	126182.0
SRR1087825.aligned	149395.0
SRR601387.aligned	106401.0
SRR663693.aligned	179561.0
SRR665610.aligned	365477.0
SRR1073655.aligned	203036.0
SRR1076868.aligned	131389.0
SRR809233.aligned	376379.0
SRR810153.aligned	310851.0
SRR809283.aligned	145960.0
SRR1140510.aligned	304738.0
SRR811005.aligned	296003.0
SRR598749.aligned	64004.0
SRR812060.aligned	227491.0
SRR810007.aligned	312425.0
SRR814219.aligned	260474.0
SRR816770.aligned	273172.0
SRR818372.aligned	332980.0
SRR818210.aligned	337722.0
SRR819261.aligned	205674.0
SRR1073483.aligned	177138.0
SRR820938.aligned	352409.0
SRR1076535.aligned	211019.0
SRR1081961.aligned	283318.0
SRR1082640.aligned	246460.0
SRR659157.aligned	174246.0
SRR1081838.aligned	267027.0
SRR658045.aligned	199983.0
SRR1082080.aligned	78793.0
SRR1082104.aligned	198182.0
SRR1081864.aligned	237496.0
SRR657695.aligned	184653.0
SRR656288.aligned	165133.0
SRR655756.aligned	231864.0
SRR1081209.aligned	143676.0
SRR1071807.aligned	149312.0
SRR613450.aligned	230522.0
SRR613066.aligned	158163.0
SRR1079094.aligned	169972.0
SRR607839.aligned	198113.0
SRR1078439.aligned	222354.0
SRR608662.aligned	286793.0
SRR603472.aligned	24651.0
SRR603092.aligned	185375.0
SRR603036.aligned	315053.0
SRR599313.aligned	224319.0
SRR821581.aligned	289032.0
SRR1069097.aligned	182822.0
SRR1077753.aligned	252738.0
SRR600784.aligned	175370.0
SRR598148.aligned	144304.0
SRR814794.aligned	346576.0
SRR814844.aligned	188179.0
SRR1076990.aligned	171313.0
SRR1102780.aligned	236356.0
SRR1069279.aligned	210018.0
SRR1100728.aligned	223563.0
SRR812493.aligned	432479.0
SRR1083215.aligned	203649.0
SRR1076369.aligned	234692.0
SRR807567.aligned	210713.0
SRR1097035.aligned	220789.99999999997
SRR1096458.aligned	233950.0
SRR1096363.aligned	220704.0
SRR1094380.aligned	218424.0
SRR658573.aligned	321431.0
SRR1093031.aligned	233560.0
SRR655637.aligned	252609.0
SRR615982.aligned	165551.0
SRR1090791.aligned	286943.0
SRR615455.aligned	88178.0
SRR1089950.aligned	232856.0
SRR613294.aligned	60563.0
SRR613855.aligned	214207.0
SRR612419.aligned	246014.0
SRR1086094.aligned	168278.0
SRR603858.aligned	345991.0
SRR1085975.aligned	162165.0
SRR1070689.aligned	95968.0
SRR820316.aligned	237031.0
SRR820993.aligned	311022.0
SRR1085759.aligned	159619.0
SRR819637.aligned	189574.0
SRR819486.aligned	322303.0
SRR818348.aligned	323071.0
SRR600560.aligned	277846.0
SRR601239.aligned	150942.0
SRR816096.aligned	338281.0
SRR1084698.aligned	193714.0
SRR1077159.aligned	306579.0
SRR814195.aligned	254616.0
SRR1083579.aligned	251257.0
SRR1075078.aligned	235090.0
SRR1101834.aligned	173747.0
SRR1101957.aligned	202663.0
SRR1081092.aligned	170062.0
SRR1101037.aligned	195606.0
SRR1097618.aligned	106026.0
SRR812198.aligned	290502.0
SRR1099694.aligned	190084.0
SRR665417.aligned	166915.0
SRR665262.aligned	245806.0
SRR663525.aligned	110897.0
SRR660673.aligned	191373.0
SRR660800.aligned	215534.0
SRR661242.aligned	65552.0
SRR1096595.aligned	201858.0
SRR1096547.aligned	154995.0
SRR660522.aligned	404631.0
SRR660895.aligned	279226.0
SRR1094405.aligned	260029.0
SRR659061.aligned	106004.0
SRR1093794.aligned	238240.0
SRR1094287.aligned	239393.0
SRR1093906.aligned	195898.0
SRR658921.aligned	192175.0
SRR658457.aligned	92672.0
SRR1093601.aligned	155292.0
SRR657880.aligned	48925.0
SRR1075102.aligned	164450.0
SRR656970.aligned	364758.0
SRR656373.aligned	205243.0
SRR627447.aligned	99095.0
SRR615802.aligned	146038.0
SRR615105.aligned	66791.0
SRR1075384.aligned	170246.0
SRR1089562.aligned	231784.0
SRR614791.aligned	26257.0
SRR1088680.aligned	155184.0
SRR1072871.aligned	97578.0
SRR1087101.aligned	132887.0
SRR612263.aligned	131616.0
SRR603068.aligned	155482.0
SRR602728.aligned	199498.0
SRR601671.aligned	171157.0
SRR1085874.aligned	192935.0
SRR810201.aligned	287185.0
SRR810413.aligned	292879.0
SRR1071011.aligned	163524.0
SRR598124.aligned	150127.0
SRR598533.aligned	224418.0
SRR600754.aligned	180636.0
SRR665442.aligned	223554.0
SRR663344.aligned	364873.0
SRR663428.aligned	260751.0
SRR1083732.aligned	216998.0
SRR1084393.aligned	142927.0
SRR661699.aligned	269005.0
SRR659673.aligned	256381.0
SRR660030.aligned	299740.0
SRR1098660.aligned	163145.0
SRR659427.aligned	308893.0
SRR1098952.aligned	226953.0
SRR659049.aligned	337986.0
SRR1068999.aligned	243297.0
SRR1081259.aligned	119217.99999999999
SRR1081493.aligned	177901.0
SRR655911.aligned	77431.0
SRR655375.aligned	469636.0
SRR655531.aligned	510751.0
SRR655720.aligned	107551.0
SRR614948.aligned	107343.0
SRR614431.aligned	222319.0
SRR1091597.aligned	198640.0
SRR1074314.aligned	183219.0
SRR612923.aligned	217669.0
SRR1074116.aligned	314423.0
SRR821690.aligned	269916.0
SRR603330.aligned	31688.0
SRR821364.aligned	351104.0
SRR821525.aligned	314223.0
SRR818901.aligned	239166.0
SRR817464.aligned	160961.0
SRR1073507.aligned	261723.0
SRR817954.aligned	395308.0
SRR1071359.aligned	227214.0
SRR817825.aligned	220299.0
SRR1071475.aligned	175664.0
SRR815232.aligned	367041.0
SRR815020.aligned	177419.0
SRR663236.aligned	152947.0
SRR812318.aligned	239286.0
SRR1086514.aligned	251172.0
SRR1069943.aligned	489422.0
SRR1086256.aligned	143191.0
SRR809185.aligned	114116.0
SRR1085803.aligned	249054.0
SRR1074884.aligned	275210.0
SRR601006.aligned	166452.0
SRR1078212.aligned	209087.0
SRR1102031.aligned	73234.0
SRR809963.aligned	384728.0
SRR1077310.aligned	157913.0
SRR809943.aligned	147316.0
SRR809137.aligned	160154.0
SRR665369.aligned	525419.0
SRR665490.aligned	368556.0
SRR1084742.aligned	203926.0
SRR1105009.aligned	211443.0
SRR1077183.aligned	205150.0
SRR660354.aligned	161849.0
SRR1076559.aligned	260820.0
SRR1100608.aligned	203666.0
SRR660127.aligned	278916.0
SRR1100824.aligned	188706.0
SRR1076584.aligned	202786.0
SRR1097978.aligned	84164.0
SRR659247.aligned	255478.0
SRR1082173.aligned	220274.0
SRR655052.aligned	120432.0
SRR1093410.aligned	235272.0
SRR1075484.aligned	232756.0
SRR615515.aligned	22747.0
SRR614888.aligned	28178.0
SRR615443.aligned	155399.0
SRR1092493.aligned	159389.0
SRR614743.aligned	156260.0
SRR1093100.aligned	177320.0
SRR614455.aligned	196381.0
SRR614251.aligned	34304.0
SRR1090861.aligned	193445.0
SRR1080093.aligned	192150.0
SRR607743.aligned	114625.0
SRR1074164.aligned	261871.0
SRR1088958.aligned	189567.0
SRR1087245.aligned	171474.0
SRR1088068.aligned	192969.0
SRR1071499.aligned	152778.0
SRR607967.aligned	209129.0
SRR603942.aligned	279267.0
SRR606939.aligned	225882.0
SRR817775.aligned	193055.0
SRR814989.aligned	266785.0
SRR1072602.aligned	199173.0
SRR1086304.aligned	97957.0
SRR1084842.aligned	314009.0
SRR810295.aligned	312493.0
SRR1103048.aligned	44491.0
SRR807493.aligned	361811.0
SRR1085614.aligned	177585.0
SRR1070308.aligned	149053.0
SRR662162.aligned	214874.0
SRR1084649.aligned	209896.0
SRR657777.aligned	145058.0
SRR1101256.aligned	159544.0
SRR1077599.aligned	208744.0
SRR1084674.aligned	218843.0
SRR659971.aligned	27976.0
SRR1100917.aligned	180739.0
SRR1099189.aligned	230927.0
SRR1098712.aligned	219485.0
SRR1097752.aligned	294524.0
SRR1083384.aligned	217313.0
SRR1096946.aligned	216953.0
SRR656493.aligned	86957.0
SRR656385.aligned	78302.0
SRR656899.aligned	232318.0
SRR656275.aligned	153654.0
SRR655040.aligned	128445.0
SRR1095358.aligned	198159.0
SRR655423.aligned	237186.0
SRR1094336.aligned	176348.0
SRR1093434.aligned	147732.0
SRR615623.aligned	176558.0
SRR615479.aligned	57044.0
SRR615371.aligned	162859.0
SRR614131.aligned	81054.0
SRR1092444.aligned	214766.0
SRR1092257.aligned	171247.0
SRR613138.aligned	301242.0
SRR1090770.aligned	171112.0
SRR1069802.aligned	108182.0
SRR821302.aligned	340793.0
SRR818537.aligned	67689.0
SRR1069376.aligned	204269.0
SRR819510.aligned	381410.0
SRR1078368.aligned	356815.0
SRR604050.aligned	177066.0
SRR817978.aligned	284839.0
SRR818821.aligned	338060.0
SRR603750.aligned	145781.0
SRR816403.aligned	299755.0
SRR601335.aligned	88332.0
SRR602492.aligned	264350.0
SRR816565.aligned	283463.0
SRR662713.aligned	227738.0
SRR1074140.aligned	206888.0
SRR813371.aligned	236861.0
SRR1068855.aligned	175433.0
SRR599059.aligned	177495.0
SRR812912.aligned	323311.0
SRR1077996.aligned	223129.0
SRR1086441.aligned	268499.0
SRR810595.aligned	115843.0
SRR1086635.aligned	224996.0
SRR1085782.aligned	157148.0
SRR810899.aligned	336944.0
SRR810737.aligned	190077.0
SRR809296.aligned	397315.0
SRR1102515.aligned	257520.0
SRR808428.aligned	356502.0
SRR664819.aligned	396236.0
SRR665310.aligned	416549.0
SRR1077263.aligned	200549.0
SRR661553.aligned	152954.0
SRR662091.aligned	140912.0
SRR1070455.aligned	185222.0
SRR1100516.aligned	214296.0
SRR661108.aligned	124311.0
SRR658093.aligned	68651.0
SRR657949.aligned	139291.0
SRR658873.aligned	233495.0
SRR658754.aligned	295372.0
SRR1098450.aligned	177038.0
SRR658259.aligned	133780.0
SRR657151.aligned	199760.0
SRR1069048.aligned	146522.0
SRR656059.aligned	238115.0
SRR655696.aligned	401291.0
SRR1082496.aligned	222046.0
SRR1082283.aligned	163728.0
SRR655289.aligned	130717.0
SRR627457.aligned	80287.0
SRR654874.aligned	180742.0
SRR617841.aligned	201606.0
SRR615237.aligned	88076.0
SRR1079118.aligned	257451.0
SRR614311.aligned	66250.0
SRR614887.aligned	290816.0
SRR614359.aligned	153595.0
SRR614515.aligned	67141.0
SRR614623.aligned	220652.0
SRR614419.aligned	241216.0
SRR613747.aligned	205990.0
SRR613426.aligned	120223.0
SRR1080143.aligned	182532.0
SRR1071453.aligned	190979.0
SRR612604.aligned	167674.0
SRR612935.aligned	214892.0
SRR607679.aligned	317266.0
SRR1071105.aligned	203832.0
SRR607562.aligned	206355.0
SRR602951.aligned	293412.0
SRR604148.aligned	306245.0
SRR814317.aligned	67164.0
SRR1089183.aligned	197801.0
SRR604528.aligned	149681.0
SRR598220.aligned	127293.0
SRR819370.aligned	264150.0
SRR602082.aligned	253857.0
SRR816969.aligned	287786.0
SRR601122.aligned	230153.0
SRR597977.aligned	107705.0
SRR663112.aligned	215850.0
SRR1073095.aligned	215571.0
SRR813983.aligned	180707.0
SRR814082.aligned	363575.0
SRR813608.aligned	298080.0
SRR1102176.aligned	234715.0
SRR810619.aligned	80150.0
SRR1098495.aligned	144398.0
SRR813171.aligned	409215.0
SRR813728.aligned	254876.0
SRR813802.aligned	221046.0
SRR1084484.aligned	109304.0
SRR1084965.aligned	74222.0
SRR1100564.aligned	201143.0
SRR814363.aligned	110751.0
SRR662847.aligned	67680.0
SRR817629.aligned	190484.0
SRR1099765.aligned	170235.0
SRR816589.aligned	107184.0
SRR818523.aligned	337991.0
SRR818939.aligned	325866.0
SRR821573.aligned	301146.0
SRR821626.aligned	323869.0
SRR1098761.aligned	236084.0
SRR1096876.aligned	215900.0
SRR657127.aligned	207594.0
SRR1080859.aligned	218991.0
SRR1096125.aligned	174651.0
SRR1072129.aligned	202651.0
SRR661192.aligned	252034.0
SRR659863.aligned	289162.0
SRR1095188.aligned	222574.0
SRR1071543.aligned	253294.0
SRR1081473.aligned	197073.0
SRR1092372.aligned	247120.0
SRR657575.aligned	228904.0
SRR1092706.aligned	185849.0
SRR1069421.aligned	222388.0
SRR1091144.aligned	80647.0
SRR1073143.aligned	175924.0
SRR614599.aligned	79005.0
SRR614707.aligned	91331.0
SRR614287.aligned	221320.0
SRR1090556.aligned	113622.0
SRR613162.aligned	118347.0
SRR613174.aligned	231492.0
SRR612323.aligned	113511.0
SRR607141.aligned	304363.0
SRR1079070.aligned	183376.0
SRR604318.aligned	367580.0
SRR1078347.aligned	141191.0
SRR602034.aligned	102468.0
SRR1078299.aligned	241139.0
SRR813560.aligned	85638.0
SRR1086164.aligned	184231.0
SRR807657.aligned	329586.0
SRR1105033.aligned	203585.0
SRR1070403.aligned	162382.0
SRR810129.aligned	307056.0
SRR1085159.aligned	164531.0
SRR1101304.aligned	218056.0
SRR1084103.aligned	298935.0
SRR662653.aligned	118234.0
SRR813234.aligned	258650.0
SRR1073389.aligned	216855.0
SRR817488.aligned	328892.0
SRR1098928.aligned	170554.0
SRR817004.aligned	360860.0
SRR1099120.aligned	213974.0
SRR818294.aligned	308385.0
SRR1073705.aligned	143658.0
SRR1069141.aligned	161211.0
SRR819318.aligned	277240.0
SRR1083504.aligned	137617.0
SRR661782.aligned	317111.0
SRR1096408.aligned	220959.0
SRR659780.aligned	153728.0
SRR661229.aligned	171838.0
SRR1082262.aligned	188714.0
SRR1093527.aligned	266513.0
SRR1093196.aligned	198671.0
SRR1093483.aligned	195055.0
SRR658307.aligned	248481.0
SRR1070286.aligned	201722.0
SRR1081543.aligned	155690.0
SRR1081567.aligned	204930.0
SRR1081308.aligned	225814.0
SRR657456.aligned	127733.0
SRR657683.aligned	163365.0
SRR1091452.aligned	86402.0
SRR656397.aligned	345830.0
SRR655495.aligned	414705.0
SRR654921.aligned	193059.0
SRR1092329.aligned	225943.0
SRR1074502.aligned	157595.0
SRR1080196.aligned	176482.0
SRR615395.aligned	86158.0
SRR1070713.aligned	235284.0
SRR615347.aligned	215440.0
SRR614059.aligned	19822.0
SRR1090815.aligned	219603.0
SRR1089974.aligned	182081.0
SRR613150.aligned	77855.0
SRR612587.aligned	45371.0
SRR601843.aligned	295346.0
SRR1088142.aligned	110119.0
SRR604480.aligned	332620.0
SRR603164.aligned	203571.0
SRR598068.aligned	443441.0
SRR1105081.aligned	255371.0
SRR662787.aligned	165984.0
SRR598638.aligned	157160.0
